@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute aX numeric
@attribute aY numeric
@attribute aZ numeric
@attribute gX numeric
@attribute gY numeric
@attribute gZ numeric
@attribute pitch numeric
@attribute roll numeric
@attribute yaw numeric
@attribute yawing numeric
@attribute pitching numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
71,'2021/03/11 15:15:36:369',4,0.024663,-0.02012,-0.009183,-0.04953,0.003568,-1.052725,0.014212,-0.050996,3.047003,?,?,?,?,?
72,'2021/03/11 15:15:36:404',4,0.025178,-0.011623,-0.00942,-0.043804,-0.001446,-0.839739,0.014318,-0.050534,3.01479,?,?,?,?,?
73,'2021/03/11 15:15:36:443',4,-0.011032,0.020743,-0.006352,-0.053783,-0.005325,-1.023464,0.014319,-0.050212,2.982309,?,?,?,?,?
74,'2021/03/11 15:15:36:491',4,0.048437,-0.038153,-0.010223,-0.03614,-0.006591,-0.730779,0.014353,-0.04979,2.950769,?,?,?,?,?
75,'2021/03/11 15:15:36:512',4,-0.013121,0.022685,-0.006641,-0.043528,-0.007954,-0.877123,0.014308,-0.049587,2.919943,?,?,?,?,?
76,'2021/03/11 15:15:36:549',4,0.003143,0.007894,-0.007335,-0.046902,-0.005228,-0.934221,0.014211,-0.049448,2.886891,?,?,?,?,?
77,'2021/03/11 15:15:36:585',4,0.051171,-0.062771,-0.009091,-0.020158,-0.000848,-0.405861,0.014195,-0.049166,2.861955,?,?,?,?,?
78,'2021/03/11 15:15:36:620',4,0.016066,-0.024326,-0.006016,-0.005875,0.000552,-0.121193,0.014187,-0.049004,2.854429,?,?,?,?,?
79,'2021/03/11 15:15:36:654',4,0.023099,-0.007936,-0.0073,-0.00124,0.006021,-0.017005,0.014205,-0.048743,2.851117,?,?,?,?,?
80,'2021/03/11 15:15:36:694',4,0.002629,-0.000524,-0.007116,0.002273,0.011921,0.00404,0.014293,-0.048383,2.851153,?,?,?,?,?
81,'2021/03/11 15:15:36:726',4,0.005229,0.000036,-0.008824,0.000624,0.007397,0.002796,0.014426,-0.048008,2.851276,?,?,?,?,?
82,'2021/03/11 15:15:36:765',4,-0.000274,0.000017,-0.012261,0.003701,0.002557,0.00064,0.01465,-0.047372,2.851353,?,?,?,?,?
83,'2021/03/11 15:16:10:192',5,-0.002189,0.000824,-0.008178,-0.004384,-0.000794,-0.00024,0.014298,-0.051306,-3.0893,1,?,?,?,?
84,'2021/03/11 15:16:10:228',5,-0.000903,-0.002004,-0.008254,0.001415,-0.000819,-0.000029,0.014308,-0.05131,-3.089314,1,?,?,?,?
85,'2021/03/11 15:16:10:266',5,0.002303,-0.001288,-0.008944,-0.000304,0.00111,-0.000402,0.014322,-0.051373,-3.089271,1,?,?,?,?
86,'2021/03/11 15:16:10:307',5,0.001424,0.000695,-0.008258,0.000011,0.001668,0.003168,0.014306,-0.051379,-3.089285,1,?,?,?,?
87,'2021/03/11 15:16:10:336',5,-0.000668,-0.000001,-0.00847,0.000483,-0.001716,-0.001581,0.014373,-0.051331,-3.089285,1,?,?,?,?
88,'2021/03/11 15:16:10:373',5,-0.000347,-0.000939,-0.00856,-0.001501,-0.000052,-0.001296,0.014366,-0.051301,-3.089284,1,?,?,?,?
89,'2021/03/11 15:16:10:406',5,-0.000904,-0.000922,-0.008529,-0.000403,0.000512,0.000277,0.014322,-0.051309,-3.089287,1,?,?,?,?
90,'2021/03/11 15:16:10:494',5,0.000406,-0.001006,-0.00905,0.00023,-0.001307,-0.001219,0.014299,-0.051368,-3.089288,1,?,?,?,?
91,'2021/03/11 15:16:10:494',5,-0.000156,-0.000941,-0.007982,-0.001626,-0.000274,-0.000777,0.014287,-0.051355,-3.089274,1,?,?,?,?
92,'2021/03/11 15:16:10:517',5,-0.002022,-0.000435,-0.008301,0.00118,-0.001392,-0.000027,0.014305,-0.051336,-3.089269,1,?,?,?,?
93,'2021/03/11 15:16:10:550',5,-0.000276,0.001745,-0.008575,0.001435,0.003006,0.00035,0.014334,-0.051311,-3.08927,1,?,?,?,?
94,'2021/03/11 15:16:10:587',5,0.002227,-0.001273,-0.009308,0.000567,-0.000746,-0.001927,0.014352,-0.051312,-3.089287,1,?,?,?,?
95,'2021/03/11 15:16:10:620',5,0.000446,-0.000223,-0.008897,-0.000808,0.000653,0.000456,0.01438,-0.051332,-3.089295,1,?,?,?,?
96,'2021/03/11 15:16:10:658',5,-0.000939,-0.000848,-0.008848,-0.000673,-0.000123,0.000491,0.014396,-0.051259,-3.089291,1,?,?,?,?
97,'2021/03/11 15:16:10:695',5,-0.001653,-0.000601,-0.008739,-0.001521,0.001366,-0.001527,0.014399,-0.051216,-3.089271,1,?,?,?,?
98,'2021/03/11 15:16:10:758',5,-0.00141,0.001666,-0.008817,0.000473,-0.001534,0.000173,0.014439,-0.051245,-3.089303,1,?,?,?,?
99,'2021/03/11 15:16:10:766',5,0.000681,-0.001011,-0.00737,-0.000317,-0.000798,-0.000277,0.014431,-0.051292,-3.089324,1,?,?,?,?
100,'2021/03/11 15:16:10:799',5,0.000469,-0.001066,-0.009341,-0.003603,-0.000462,0.00151,0.014407,-0.051355,-3.089273,1,?,?,?,?
101,'2021/03/11 15:16:10:839',5,-0.000819,-0.000261,-0.008047,-0.001367,-0.003446,-0.000181,0.014372,-0.051424,-3.089298,1,?,?,?,?
102,'2021/03/11 15:16:10:872',5,0.000448,-0.000286,-0.007374,-0.001453,-0.001215,0.000175,0.014363,-0.051394,-3.089331,1,?,?,?,?
103,'2021/03/11 15:16:10:906',5,-0.00025,0.000408,-0.007435,0.001166,-0.005904,0.000482,0.01437,-0.051383,-3.089318,1,?,?,?,?
